"date","product_id","region_id","product_category","demand","day_of_week","day_of_month","week_of_year","month","quarter","is_weekend","is_federal_holiday","is_ramadan","ramadan_day","is_pre_raya_window","is_pre_cny_window","is_mega_sale","mega_sale_base_magnitude","is_school_holiday","is_government_payday_window","is_private_payday_window","social_media_index","competitor_activity_index","marketing_spend_myr"
"2023-01-23","P001","BRN","Fashion","246","0","23","4","1","1","0","1","0","0","0","0","0","0.0","0","0","0","0.2371","0.8741","638.73"
"2023-01-24","P001","BRN","Fashion","248","1","24","4","1","1","0","0","0","0","0","0","0","0.0","0","1","0","0.7184","0.2272","445.55"
"2023-01-25","P001","BRN","Fashion","246","2","25","4","1","1","0","0","0","0","0","0","0","0.0","0","1","0","0.3687","0.1183","471.88"
"2023-01-26","P001","BRN","Fashion","219","3","26","4","1","1","0","0","0","0","0","0","0","0.0","0","1","0","0.4098","0.1688","626.97"
"2023-01-27","P001","BRN","Fashion","193","4","27","4","1","1","0","0","0","0","0","0","0","0.0","0","0","0","0.2382","0.6224","488.4"
"2023-01-28","P001","BRN","Fashion","159","5","28","4","1","1","1","0","0","0","0","0","0","0.0","0","0","0","0.2212","0.2167","569.87"
"2023-01-29","P001","BRN","Fashion","115","6","29","4","1","1","1","0","0","0","0","0","0","0.0","0","0","0","0.2558","0.1801","510.16"
"2023-01-30","P001","BRN","Fashion","131","0","30","5","1","1","0","0","0","0","0","0","0","0.0","0","0","0","0.8041","0.3068","482.91"
"2023-01-31","P001","BRN","Fashion","131","1","31","5","1","1","0","0","0","0","0","0","0","0.0","0","0","0","0.6408","0.0577","573.97"
"2023-02-01","P001","BRN","Fashion","167","2","1","5","2","1","0","0","0","0","0","0","0","0.0","0","0","1","0.4856","0.5403","538.88"
"2023-02-02","P001","BRN","Fashion","328","3","2","5","2","1","0","0","0","0","0","0","1","3.5","0","0","1","0.9541","0.4201","1154.85"
"2023-02-03","P001","BRN","Fashion","172","4","3","5","2","1","0","0","0","0","0","0","0","0.0","0","0","1","0.3035","0.3205","513.01"
"2023-02-04","P001","BRN","Fashion","145","5","4","5","2","1","1","0","0","0","0","0","0","0.0","0","0","0","0.4032","0.2843","425.37"
"2023-02-05","P001","BRN","Fashion","139","6","5","5","2","1","1","1","0","0","0","0","0","0.0","0","0","0","0.4089","0.2574","595.34"
"2023-02-06","P001","BRN","Fashion","129","0","6","6","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.4329","0.305","631.52"
"2023-02-07","P001","BRN","Fashion","151","1","7","6","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.3864","0.2381","640.55"
"2023-02-08","P001","BRN","Fashion","165","2","8","6","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.0704","0.4987","526.81"
"2023-02-09","P001","BRN","Fashion","142","3","9","6","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.3285","0.1659","465.38"
"2023-02-10","P001","BRN","Fashion","137","4","10","6","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.395","0.2794","524.13"
"2023-02-11","P001","BRN","Fashion","166","5","11","6","2","1","1","0","0","0","0","0","0","0.0","0","0","0","0.3241","0.0785","429.52"
"2023-02-12","P001","BRN","Fashion","133","6","12","6","2","1","1","0","0","0","0","0","0","0.0","0","0","0","0.0516","0.1871","675.91"
"2023-02-13","P001","BRN","Fashion","134","0","13","7","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.1317","0.1625","589.58"
"2023-02-14","P001","BRN","Fashion","134","1","14","7","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.1752","0.3397","522.84"
"2023-02-15","P001","BRN","Fashion","152","2","15","7","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.603","0.3683","574.78"
"2023-02-16","P001","BRN","Fashion","173","3","16","7","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.4459","0.3481","463.12"
"2023-02-17","P001","BRN","Fashion","152","4","17","7","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.3986","0.1191","416.9"
"2023-02-18","P001","BRN","Fashion","154","5","18","7","2","1","1","0","0","0","0","0","0","0.0","0","0","0","0.2626","0.0785","334.01"
"2023-02-19","P001","BRN","Fashion","132","6","19","7","2","1","1","0","0","0","0","0","0","0.0","0","0","0","0.4449","0.2282","506.23"
"2023-02-20","P001","BRN","Fashion","121","0","20","8","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.4133","0.0951","484.39"
"2023-02-21","P001","BRN","Fashion","133","1","21","8","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.3507","0.0575","538.95"
"2023-02-22","P001","BRN","Fashion","135","2","22","8","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.5788","0.2421","500.98"
"2023-02-23","P001","BRN","Fashion","153","3","23","8","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.4571","0.3631","535.54"
"2023-02-24","P001","BRN","Fashion","182","4","24","8","2","1","0","0","0","0","0","0","0","0.0","0","1","0","0.4752","0.3195","560.83"
"2023-02-25","P001","BRN","Fashion","159","5","25","8","2","1","1","0","0","0","0","0","0","0.0","0","1","0","0.2604","0.3513","390.49"
"2023-02-26","P001","BRN","Fashion","142","6","26","8","2","1","1","0","0","0","0","0","0","0.0","0","1","0","0.6595","0.5648","565.17"
"2023-02-27","P001","BRN","Fashion","122","0","27","9","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.7102","0.1161","469.51"
"2023-02-28","P001","BRN","Fashion","143","1","28","9","2","1","0","0","0","0","0","0","0","0.0","0","0","0","0.3771","0.5654","538.82"
"2023-03-01","P001","BRN","Fashion","144","2","1","9","3","1","0","0","0","0","0","0","0","0.0","0","0","1","0.3798","0.0246","576.67"
"2023-03-02","P001","BRN","Fashion","147","3","2","9","3","1","0","0","0","0","0","0","0","0.0","0","0","1","0.9659","0.487","577.18"
"2023-03-03","P001","BRN","Fashion","388","4","3","9","3","1","0","0","0","0","0","0","1","3.8","0","0","1","0.9614","0.9307","1529.06"
"2023-03-04","P001","BRN","Fashion","135","5","4","9","3","1","1","0","0","0","0","0","0","0.0","0","0","0","0.117","0.2694","513.39"
"2023-03-05","P001","BRN","Fashion","125","6","5","9","3","1","1","0","0","0","0","0","0","0.0","0","0","0","0.0925","0.1168","566.89"
"2023-03-06","P001","BRN","Fashion","126","0","6","10","3","1","0","0","0","0","0","0","0","0.0","0","0","0","0.2721","0.1556","387.41"
"2023-03-07","P001","BRN","Fashion","145","1","7","10","3","1","0","0","0","0","0","0","0","0.0","0","0","0","0.1738","0.3173","428.63"
"2023-03-08","P001","BRN","Fashion","146","2","8","10","3","1","0","0","0","0","0","0","0","0.0","0","0","0","0.2757","0.4597","479.06"
"2023-03-09","P001","BRN","Fashion","138","3","9","10","3","1","0","0","0","0","0","0","0","0.0","0","0","0","0.4431","0.2442","400.04"
"2023-03-10","P001","BRN","Fashion","135","4","10","10","3","1","0","0","0","0","1","0","0","0.0","0","0","0","0.0534","0.4491","959.24"
"2023-03-11","P001","BRN","Fashion","134","5","11","10","3","1","1","0","0","0","1","0","0","0.0","1","0","0","0.0315","0.4399","951.05"
"2023-03-12","P001","BRN","Fashion","131","6","12","10","3","1","1","0","0","0","1","0","0","0.0","1","0","0","0.235","0.0705","1013.07"
"2023-03-13","P001","BRN","Fashion","129","0","13","11","3","1","0","0","0","0","1","0","0","0.0","1","0","0","0.1977","0.1296","991.47"
"2023-03-14","P001","BRN","Fashion","140","1","14","11","3","1","0","0","0","0","1","0","0","0.0","1","0","0","0.3838","0.0676","1160.4"
"2023-03-15","P001","BRN","Fashion","152","2","15","11","3","1","0","0","0","0","1","0","0","0.0","1","0","0","0.1036","0.7476","1085.95"
"2023-03-16","P001","BRN","Fashion","159","3","16","11","3","1","0","0","0","0","1","0","0","0.0","1","0","0","0.345","0.6205","989.35"
"2023-03-17","P001","BRN","Fashion","152","4","17","11","3","1","0","0","0","0","1","0","0","0.0","1","0","0","0.3371","0.1345","950.01"
"2023-03-18","P001","BRN","Fashion","175","5","18","11","3","1","1","0","0","0","1","0","0","0.0","1","0","0","0.4612","0.5373","992.87"
"2023-03-19","P001","BRN","Fashion","150","6","19","11","3","1","1","0","0","0","1","0","0","0.0","1","0","0","0.4741","0.4234","995.52"
"2023-03-20","P001","BRN","Fashion","166","0","20","12","3","1","0","0","0","0","1","0","0","0.0","0","0","0","0.1673","0.0319","1377.81"
"2023-03-21","P001","BRN","Fashion","156","1","21","12","3","1","0","0","0","0","1","0","0","0.0","0","0","0","0.3028","0.4413","781.37"
"2023-03-22","P001","BRN","Fashion","203","2","22","12","3","1","0","0","0","0","1","0","0","0.0","0","0","0","0.1579","0.0716","861.06"
"2023-03-23","P001","BRN","Fashion","187","3","23","12","3","1","0","0","1","1","1","0","0","0.0","0","0","0","0.2478","0.2311","964.92"
"2023-03-24","P001","BRN","Fashion","221","4","24","12","3","1","0","0","1","2","1","0","0","0.0","0","1","0","0.1836","0.0899","1196.45"
"2023-03-25","P001","BRN","Fashion","290","5","25","12","3","1","1","0","1","3","1","0","0","0.0","0","1","0","0.3894","0.106","1189.62"
"2023-03-26","P001","BRN","Fashion","246","6","26","12","3","1","1","0","1","4","1","0","0","0.0","0","1","0","0.7483","0.2566","1051.15"
"2023-03-27","P001","BRN","Fashion","252","0","27","13","3","1","0","0","1","5","1","0","0","0.0","0","0","0","0.0568","0.2529","1304.58"
"2023-03-28","P001","BRN","Fashion","280","1","28","13","3","1","0","0","1","6","1","0","0","0.0","0","0","0","0.438","0.2953","1213.77"
"2023-03-29","P001","BRN","Fashion","317","2","29","13","3","1","0","0","1","7","1","0","0","0.0","0","0","0","0.3025","0.5083","1311.82"
"2023-03-30","P001","BRN","Fashion","314","3","30","13","3","1","0","0","1","8","1","0","0","0.0","0","0","0","0.3737","0.1906","1357.6"
"2023-03-31","P001","BRN","Fashion","376","4","31","13","3","1","0","0","1","9","1","0","0","0.0","0","0","0","0.1372","0.41","782.39"
"2023-04-01","P001","BRN","Fashion","393","5","1","13","4","2","1","0","1","10","1","0","0","0.0","0","0","1","0.2501","0.0227","1268.27"
"2023-04-02","P001","BRN","Fashion","365","6","2","13","4","2","1","0","1","11","1","0","0","0.0","0","0","1","0.5009","0.4696","927.46"
"2023-04-03","P001","BRN","Fashion","513","0","3","14","4","2","0","0","1","12","1","0","0","0.0","0","0","1","0.72","0.6382","1193.02"
"2023-04-04","P001","BRN","Fashion","1740","1","4","14","4","2","0","0","1","13","1","0","1","3.8","0","0","0","1.0","0.7428","2126.49"
"2023-04-05","P001","BRN","Fashion","1252","2","5","14","4","2","0","0","1","14","1","0","0","0.0","0","0","0","0.9386","0.6853","1144.79"
"2023-04-06","P001","BRN","Fashion","1553","3","6","14","4","2","0","0","1","15","1","0","0","0.0","0","0","0","0.981","0.3347","942.2"
"2023-04-07","P001","BRN","Fashion","1442","4","7","14","4","2","0","1","1","16","1","0","0","0.0","0","0","0","0.8524","0.1458","1327.76"
"2023-04-08","P001","BRN","Fashion","1106","5","8","14","4","2","1","1","1","17","1","0","0","0.0","0","0","0","0.88","0.4859","927.39"
"2023-04-09","P001","BRN","Fashion","587","6","9","14","4","2","1","0","1","18","1","0","0","0.0","0","0","0","0.3865","0.0271","1279.47"
"2023-04-10","P001","BRN","Fashion","577","0","10","15","4","2","0","0","1","19","1","0","0","0.0","0","0","0","0.4064","0.1383","903.0"
"2023-04-11","P001","BRN","Fashion","582","1","11","15","4","2","0","0","1","20","1","0","0","0.0","0","0","0","0.5884","0.0688","1146.92"
"2023-04-12","P001","BRN","Fashion","731","2","12","15","4","2","0","0","1","21","1","0","0","0.0","0","0","0","0.4202","0.1074","1461.26"
"2023-04-13","P001","BRN","Fashion","691","3","13","15","4","2","0","0","1","22","1","0","0","0.0","0","0","0","0.2641","0.3854","1557.38"
"2023-04-14","P001","BRN","Fashion","758","4","14","15","4","2","0","0","1","23","1","0","0","0.0","0","0","0","0.0629","0.1691","870.77"
"2023-04-15","P001","BRN","Fashion","724","5","15","15","4","2","1","0","1","24","1","0","0","0.0","0","0","0","0.1287","0.2153","1028.47"
"2023-04-16","P001","BRN","Fashion","616","6","16","15","4","2","1","0","1","25","1","0","0","0.0","0","0","0","0.116","0.2162","1059.84"
"2023-04-17","P001","BRN","Fashion","854","0","17","16","4","2","0","0","1","26","1","0","0","0.0","0","0","0","0.3609","0.065","1539.0"
"2023-04-18","P001","BRN","Fashion","780","1","18","16","4","2","0","0","1","27","1","0","0","0.0","0","0","0","0.5037","0.3444","1138.21"
"2023-04-19","P001","BRN","Fashion","934","2","19","16","4","2","0","0","1","28","1","0","0","0.0","0","0","0","0.226","0.1856","1335.38"
"2023-04-20","P001","BRN","Fashion","904","3","20","16","4","2","0","0","1","29","1","0","0","0.0","0","0","0","0.1207","0.4653","1201.7"
"2023-04-21","P001","BRN","Fashion","983","4","21","16","4","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3178","0.2787","410.06"
"2023-04-22","P001","BRN","Fashion","1154","5","22","16","4","2","1","1","0","0","0","0","0","0.0","0","0","0","0.3174","0.2156","360.51"
"2023-04-23","P001","BRN","Fashion","805","6","23","16","4","2","1","0","0","0","0","0","0","0.0","0","0","0","0.1807","0.2146","454.02"
"2023-04-24","P001","BRN","Fashion","794","0","24","17","4","2","0","0","0","0","0","0","0","0.0","0","1","0","0.5564","0.5093","673.77"
"2023-04-25","P001","BRN","Fashion","862","1","25","17","4","2","0","0","0","0","0","0","0","0.0","0","1","0","0.5455","0.4763","519.32"
"2023-04-26","P001","BRN","Fashion","731","2","26","17","4","2","0","0","0","0","0","0","0","0.0","0","1","0","0.2412","0.4706","579.08"
"2023-04-27","P001","BRN","Fashion","688","3","27","17","4","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3038","0.0873","393.63"
"2023-04-28","P001","BRN","Fashion","593","4","28","17","4","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2199","0.5546","475.61"
"2023-04-29","P001","BRN","Fashion","404","5","29","17","4","2","1","0","0","0","0","0","0","0.0","0","0","0","0.2439","0.0204","558.41"
"2023-04-30","P001","BRN","Fashion","390","6","30","17","4","2","1","0","0","0","0","0","0","0.0","0","0","0","0.2715","0.1955","418.16"
"2023-05-01","P001","BRN","Fashion","431","0","1","18","5","2","0","1","0","0","0","0","0","0.0","0","0","1","0.1113","0.1533","495.2"
"2023-05-02","P001","BRN","Fashion","306","1","2","18","5","2","0","0","0","0","0","0","0","0.0","0","0","1","0.4492","0.0941","434.02"
"2023-05-03","P001","BRN","Fashion","289","2","3","18","5","2","0","0","0","0","0","0","0","0.0","0","0","1","0.7478","0.3403","561.98"
"2023-05-04","P001","BRN","Fashion","217","3","4","18","5","2","0","1","0","0","0","0","0","0.0","0","0","0","0.5664","0.1355","529.89"
"2023-05-05","P001","BRN","Fashion","299","4","5","18","5","2","0","0","0","0","0","0","1","4.5","0","0","0","0.6764","0.5983","1653.76"
"2023-05-06","P001","BRN","Fashion","114","5","6","18","5","2","1","0","0","0","0","0","0","0.0","0","0","0","0.345","0.2278","565.33"
"2023-05-07","P001","BRN","Fashion","113","6","7","18","5","2","1","0","0","0","0","0","0","0.0","0","0","0","0.054","0.188","482.92"
"2023-05-08","P001","BRN","Fashion","98","0","8","19","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3551","0.2634","575.24"
"2023-05-09","P001","BRN","Fashion","111","1","9","19","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2525","0.3344","455.76"
"2023-05-10","P001","BRN","Fashion","130","2","10","19","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2614","0.4924","546.93"
"2023-05-11","P001","BRN","Fashion","112","3","11","19","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2665","0.0372","352.18"
"2023-05-12","P001","BRN","Fashion","122","4","12","19","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.022","0.0192","444.02"
"2023-05-13","P001","BRN","Fashion","102","5","13","19","5","2","1","0","0","0","0","0","0","0.0","1","0","0","0.2615","0.1061","673.69"
"2023-05-14","P001","BRN","Fashion","102","6","14","19","5","2","1","0","0","0","0","0","0","0.0","1","0","0","0.1202","0.1844","545.82"
"2023-05-15","P001","BRN","Fashion","107","0","15","20","5","2","0","0","0","0","0","0","0","0.0","1","0","0","0.3288","0.144","545.85"
"2023-05-16","P001","BRN","Fashion","89","1","16","20","5","2","0","0","0","0","0","0","0","0.0","1","0","0","0.2823","0.2033","438.21"
"2023-05-17","P001","BRN","Fashion","111","2","17","20","5","2","0","0","0","0","0","0","0","0.0","1","0","0","0.2073","0.597","417.93"
"2023-05-18","P001","BRN","Fashion","122","3","18","20","5","2","0","0","0","0","0","0","0","0.0","1","0","0","0.1951","0.3987","480.17"
"2023-05-19","P001","BRN","Fashion","117","4","19","20","5","2","0","0","0","0","0","0","0","0.0","1","0","0","0.3734","0.1683","494.97"
"2023-05-20","P001","BRN","Fashion","105","5","20","20","5","2","1","0","0","0","0","0","0","0.0","1","0","0","0.5982","0.3706","643.59"
"2023-05-21","P001","BRN","Fashion","92","6","21","20","5","2","1","0","0","0","0","0","0","0.0","1","0","0","0.4033","0.1272","576.42"
"2023-05-22","P001","BRN","Fashion","106","0","22","21","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3491","0.0968","508.17"
"2023-05-23","P001","BRN","Fashion","106","1","23","21","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.0618","0.0159","504.93"
"2023-05-24","P001","BRN","Fashion","133","2","24","21","5","2","0","0","0","0","0","0","0","0.0","0","1","0","0.2352","0.0988","556.86"
"2023-05-25","P001","BRN","Fashion","133","3","25","21","5","2","0","0","0","0","0","0","0","0.0","0","1","0","0.4079","0.2581","401.09"
"2023-05-26","P001","BRN","Fashion","122","4","26","21","5","2","0","0","0","0","0","0","0","0.0","0","1","0","0.1217","0.3988","355.9"
"2023-05-27","P001","BRN","Fashion","116","5","27","21","5","2","1","0","0","0","0","0","0","0.0","0","0","0","0.1913","0.1974","555.75"
"2023-05-28","P001","BRN","Fashion","95","6","28","21","5","2","1","0","0","0","0","0","0","0.0","0","0","0","0.5146","0.5531","505.4"
"2023-05-29","P001","BRN","Fashion","108","0","29","22","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2367","0.571","401.59"
"2023-05-30","P001","BRN","Fashion","117","1","30","22","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.5879","0.3339","342.88"
"2023-05-31","P001","BRN","Fashion","121","2","31","22","5","2","0","0","0","0","0","0","0","0.0","0","0","0","0.6865","0.3263","567.04"
"2023-06-01","P001","BRN","Fashion","121","3","1","22","6","2","0","0","0","0","0","0","0","0.0","0","0","1","0.4597","0.09","460.88"
"2023-06-02","P001","BRN","Fashion","145","4","2","22","6","2","0","0","0","0","0","0","0","0.0","0","0","1","0.0989","0.1233","530.02"
"2023-06-03","P001","BRN","Fashion","116","5","3","22","6","2","1","0","0","0","0","0","0","0.0","0","0","1","0.7637","0.1846","480.22"
"2023-06-04","P001","BRN","Fashion","99","6","4","22","6","2","1","0","0","0","0","0","0","0.0","0","0","0","0.4141","0.1267","497.43"
"2023-06-05","P001","BRN","Fashion","107","0","5","23","6","2","0","1","0","0","0","0","0","0.0","0","0","0","0.7825","0.3912","455.58"
"2023-06-06","P001","BRN","Fashion","256","1","6","23","6","2","0","0","0","0","0","0","1","4.5","0","0","0","0.8272","0.4543","1482.79"
"2023-06-07","P001","BRN","Fashion","121","2","7","23","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2478","0.0595","543.28"
"2023-06-08","P001","BRN","Fashion","106","3","8","23","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3744","0.1261","479.32"
"2023-06-09","P001","BRN","Fashion","117","4","9","23","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1119","0.2745","475.04"
"2023-06-10","P001","BRN","Fashion","113","5","10","23","6","2","1","0","0","0","0","0","0","0.0","0","0","0","0.4707","0.6561","545.57"
"2023-06-11","P001","BRN","Fashion","100","6","11","23","6","2","1","0","0","0","0","0","0","0.0","0","0","0","0.1575","0.5257","550.56"
"2023-06-12","P001","BRN","Fashion","90","0","12","24","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2906","0.4928","414.69"
"2023-06-13","P001","BRN","Fashion","100","1","13","24","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.0626","0.1575","497.83"
"2023-06-14","P001","BRN","Fashion","84","2","14","24","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1687","0.1699","460.72"
"2023-06-15","P001","BRN","Fashion","108","3","15","24","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1184","0.0936","501.03"
"2023-06-16","P001","BRN","Fashion","114","4","16","24","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1696","0.374","607.55"
"2023-06-17","P001","BRN","Fashion","100","5","17","24","6","2","1","0","0","0","0","0","0","0.0","0","0","0","0.2005","0.0604","526.92"
"2023-06-18","P001","BRN","Fashion","90","6","18","24","6","2","1","0","0","0","0","0","0","0.0","0","0","0","0.1668","0.2078","662.32"
"2023-06-19","P001","BRN","Fashion","92","0","19","25","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2669","0.0734","516.47"
"2023-06-20","P001","BRN","Fashion","111","1","20","25","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.0378","0.3141","487.52"
"2023-06-21","P001","BRN","Fashion","106","2","21","25","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3094","0.4797","498.52"
"2023-06-22","P001","BRN","Fashion","124","3","22","25","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1463","0.1494","510.7"
"2023-06-23","P001","BRN","Fashion","101","4","23","25","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.4342","0.1862","524.21"
"2023-06-24","P001","BRN","Fashion","114","5","24","25","6","2","1","0","0","0","0","0","0","0.0","0","1","0","0.1937","0.2746","425.6"
"2023-06-25","P001","BRN","Fashion","101","6","25","25","6","2","1","0","0","0","0","0","0","0.0","0","1","0","0.3267","0.3092","482.51"
"2023-06-26","P001","BRN","Fashion","122","0","26","26","6","2","0","0","0","0","0","0","0","0.0","0","1","0","0.1151","0.453","445.67"
"2023-06-27","P001","BRN","Fashion","101","1","27","26","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.386","0.3201","577.22"
"2023-06-28","P001","BRN","Fashion","123","2","28","26","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.1642","0.1161","355.57"
"2023-06-29","P001","BRN","Fashion","103","3","29","26","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.2556","0.2459","511.77"
"2023-06-30","P001","BRN","Fashion","118","4","30","26","6","2","0","0","0","0","0","0","0","0.0","0","0","0","0.3314","0.185","386.14"
"2023-07-01","P001","BRN","Fashion","110","5","1","26","7","3","1","0","0","0","0","0","0","0.0","0","0","1","0.5387","0.3368","532.42"
"2023-07-02","P001","BRN","Fashion","108","6","2","26","7","3","1","0","0","0","0","0","0","0.0","0","0","1","0.1808","0.1374","470.08"
"2023-07-03","P001","BRN","Fashion","91","0","3","27","7","3","0","0","0","0","0","0","0","0.0","0","0","1","0.1248","0.3755","363.74"
"2023-07-04","P001","BRN","Fashion","102","1","4","27","7","3","0","0","0","0","0","0","0","0.0","0","0","0","0.4678","0.2027","570.67"
"2023-07-05","P001","BRN","Fashion","95","2","5","27","7","3","0","0","0","0","0","0","0","0.0","0","0","0","0.4928","0.2503","311.27"
"2023-07-06","P001","BRN","Fashion","108","3","6","27","7","3","0","0","0","0","0","0","0","0.0","0","0","0","0.9368","0.1523","497.64"
"2023-07-07","P001","BRN","Fashion","192","4","7","27","7","3","0","0","0","0","0","0","1","3.5","0","0","0","0.6726","0.358","1655.52"
"2023-07-08","P001","BRN","Fashion","98","5","8","27","7","3","1","0","0","0","0","0","0","0.0","0","0","0","0.314","0.0129","603.25"
"2023-07-09","P001","BRN","Fashion","100","6","9","27","7","3","1","0","0","0","0","0","0","0.0","0","0","0","0.2649","0.2895","379.24"
"2023-07-10","P001","BRN","Fashion","96","0","10","28","7","3","0","0","0","0","0","0","0","0.0","0","0","0","0.3294","0.15","461.3"
"2023-07-11","P001","BRN","Fashion","89","1","11","28","7","3","0","0","0","0","0","0","0","0.0","0","0","0","0.2296","0.0961","581.27"
